dataset,model,uniform_auprc,hard_auprc,uniform_auroc,hard_auroc,n_seeds
DDI,ams,0.9800959341473262,0.9116257654801507,0.9812119254176869,0.9181313071420328,3
DDI,gcn,0.9072347138145295,0.6581940531997416,0.9242105979101759,0.7043222339523213,3
DDI,heuristic,0.8894209326085507,,0.9031177413550564,,3
DDI,skipgnn,0.9291812178907805,0.7242457731006434,0.9393165988219477,0.7584200495724307,3
DTI,ams,0.9199181328364493,0.7935300554016127,0.8953779758445167,0.7592914445938851,3
DTI,gcn,0.9160761053488322,0.7304659569448204,0.9093115197965776,0.6946126812698195,3
DTI,heuristic,0.805801241524653,,0.797744625975303,,3
DTI,skipgnn,0.928763331590817,0.6917782143602116,0.9254159028599797,0.6602563605815512,3
GDI,ams,0.951313662245708,0.834133634919812,0.9350034173264091,0.8258635884621256,3
GDI,heuristic,0.917412756808293,0.8421465611511764,0.9051590915554012,0.8162454660357316,3
GDI,skipgnn,0.9333897148066438,0.71887423516555,0.9225838334126423,0.7037312660562219,3
PPI,ams,0.9306049780138986,0.6740661003788221,0.9202220251947026,0.6952996970116607,3
PPI,heuristic,0.6711694127206363,0.5777636140553359,0.6714814845456732,0.5794456449935551,3
PPI,skipgnn,0.9281433506791165,0.6218906367589048,0.9225922999622952,0.6374697545022531,3
