dataset,model,missing_frac,auprc_mean,auprc_std
DTI,gcn,0.1,0.9141182280638601,0.00015637102527012064
DTI,skipgnn,0.1,0.9275593579010023,0.0014849212710237284
DTI,ams,0.1,0.9288331881419266,0.002861759442027547
DTI,gcn,0.3,0.9105292773540539,0.000668119772637476
DTI,skipgnn,0.3,0.924451396915682,0.0006963594120473923
DTI,ams,0.3,0.9264451902198361,0.0018686313241874264
DTI,gcn,0.5,0.9068789751685514,0.0016079168731996764
DTI,skipgnn,0.5,0.918598316123303,0.0006264337750031024
DTI,ams,0.5,0.9214435931226667,0.004936583192196715
DTI,gcn,0.7,0.9000885395304122,0.001537598244649667
DTI,skipgnn,0.7,0.9105164161824898,0.0007088528063194392
DTI,ams,0.7,0.913634813460208,0.0029805308451735153
DTI,gcn,0.9,0.8990176417903308,0.00039216846700655536
DTI,skipgnn,0.9,0.9069079347579226,0.0013264973575358083
DTI,ams,0.9,0.9109009276291132,0.0028075711971782885
